text_raw,text_clean,label,platform
"Chắc hẳn đây là cuốn sách được nhiều người đọc, vào các nhóm trên *** thấy cũng nhiều người review, thế nên mình cũng mua một cuốn. Thấy nhiều người khen quá mà mình đọc xong cứ thấy bình thường, gần như không có nhiều thứ đọng lại, tất nhiên đây là ý kiến chủ quan thôi, mỗi người sẽ có cho mình một cảm nhận khác nhau. Mình thấy câu chuyện không thật sự xuất sắc như lời đồn, tuy vậy cũng không hẳn là tệ. Mình đánh giá cuốn này 6/10 điểm. Về vấn đề bán hàng của Tiki thì không có gì để nói, hầu như tất cả sách mình đặt đều được đóng gói rất cẩn thận, rất rất ít sách bị cấn móp, nói chung okeee",chắc_hẳn cuốn sách nhiều người đọc vào nhóm trên thấy nhiều người review_thế mua cuốn thấy nhiều người khen quá đọc xong cứ thấy bình_thường gần nhiều thứ_đọng tất_nhiên ý_kiến chủ_quan mỗi người cảm_nhận khác nhau thấy câu_chuyện thật_sự xuất_sắc lời đồn tuy_vậy hẳn tệ đánh_giá cuốn 10 điểm vấn_đề bán hàng tiki gì nói hầu_như tất_cả sách đặt đều đóng_gói cẩn_thận ít sách cấn_móp nói_chung okeee,Positive,tiki
"Mua sách cũng lâu rui nhưng giờ mới có tgian đọc, mình đọc 1 mạch cho đến hết truyện. Mở đầu truyện đã mang tới cảm giác khá buồn rồi, đọc để thấu hiểu được cái nghèo nó có thể khiến một cậu bé còn chưa được 6t trưởng thành và mạnh mẽ tới mức ấy, và đôi khi lại rất nhạy cảm, một cậu bé thông mình và tinh nghịch nhưng lại ko có một ai có thể hiểu được cậu cho tới khi một người bạn đặc biệt xuất hiện khiến Zezé cảm nhận được sự ấm áp và trân trọng mà trước đây cậu chưa từng được đối xử như thế. Khúc cuối thật sự rất cảm động, sẽ không có một ai thay thế được hình bóng người bạn đặc biệt ấy trong lòng cậu bé cho tới cuối đời.",mua sách lâu_rui nhưng giờ mới tgian đọc đọc mạch đến hết truyện mở_đầu truyện mang tới cảm_giác khá buồn rồi đọc thấu_hiểu cái nghèo nó có_thể khiến cậu bé còn chưa trưởng_thành mạnh_mẽ tới mức ấy đôi_khi nhạy_cảm cậu bé thông tinh_nghịch nhưng ai có_thể hiểu cậu tới người đặc_biệt xuất_hiện khiến zezé cảm_nhận sự ấm_áp trân_trọng trước_đây cậu chưa từng đối_xử như_thế khúc cuối thật_sự cảm_động ai thấy hình_bóng người đặc_biệt ấy lòng cậu bé tới cuối đời,Positive,tiki
"Đây có lẽ là quyển sách đầu tiên mà trong lúc đọc mình lại khóc va cười nhiều đền vậy. Cười vì những trò tinh nghịch của cậu bé Zeze, thông mình lanh lợi và đầy tình cảm. Khóc vì cậu đã co 1 tuổi thơ bất hạnh vì những trận đòn ko đáng có. Tác phẩm hay rất đáng đọc.",có_lẽ quyển sách đầu_tiên lúc đọc khóc va_cười nhiều đền cười trò tinh_nghịch cậu bé zeze thông lanh_lợi đầy tình_cảm khóc cậu co tuổi_thơ bất_hạnh trận đòn đáng tác_phẩm đáng đọc,Positive,tiki
"1 quyển sách giàu tình yêu thương, lòng nhân hậu và trong sáng của 1 đứa trẻ. Và đặt cho 1 câu hỏi về cách đối xử vs nhau giữa người và người, đặc biệt là trong 1 gia đình. Liệu đòn roi có phải 1 cách để đứa trẻ biết vâng lời, hay sẽ là tác động tiêu cực để rồi đứa trẻ mất đi những gì lẽ ra phải thuộc về nó, tình yêu thương, tính khám phá, tò mò của 1 đứa trẻ? Một câu chuyện buồn dễ lấy đi nước mắt của ng đọc, cảm nhận về những thứ trong sáng nhất bị lấy đi của 1 đứa trẻ thật sự đau lòng. Hãy đọc để hiểu được những gì con trẻ thật sự nghĩ, từ đó cho chúng ta cái nhìn khác về những trò nghịch ngợm, và bao dung hơn cho bọn nhỏ. 
1 quyển sách cảm động, theo mình nghĩ là vậy.",quyển sách giàu_tình yêu_thương_lòng nhân_hậu trong_sáng đứa trẻ đặt câu hỏi cách đối_xử nhau giữa người người đặc_biệt giá đình_liệu đòn_roi phải cách đứa trẻ biết vâng lời tác_động tiêu_cực rồi đứa trẻ mất đi gì lẽ_ra phải thuộc nó tình_yêu_thương tính khám_phá tò_mò đứa trẻ câu_chuyện buồn dễ lấy đi nước_mắt ng đọc cảm_nhận thứ trong_sáng lấy đi đứa trẻ thật_sự đau_lòng hãy đọc hiểu gì con_trẻ thật_sự nghĩ chúng_ta cái nhìn khác trò nghịch_ngợm bao_dung bọn nhỏ quyển sách cảm_động nghĩ,Positive,tiki
"tiki trading đóng gói quá tệ, thật sự. Đối với 1 đứa yêu sách như mình thì nhìn sách bị df cực kì khí chịu. Lần đầu mình thấy cách gói đơn sách như vậy luôn á. Chỉ 1 lớp nilong mỏng dính xong bỏ vào hộp r quăng thêm 3 miếng nilong k biết có tác dụng gì???!? Hãy xem lại cách gói hàng của mình và gói hàng 1 cách có tâm với ạ. Bực mình thật sự đấy",tiki trading đóng_gói quá tệ thật_sự đối_với đứa yêu_sách nhìn sách df cực_kì khí chịu lần đầu thấy cách gói đơn_sách như_vậy luôn lớp nilong mỏng dính xong bỏ vào hộp rồi quăng thêm miếng nilong biết tác_dụng gì hãy xem_lại cách gói hàng gói hàng cách tâm bực_mình thật_sự đấy,Negative,tiki
"hmm sẽ khá hay với những bạn thích đọc những quyển sách cho tâm hồn, nhưng sẽ khá bình thường cho những bạn đã đọc chicken soup for the soul. Nhưng mà sách vẫn rất ý nghĩa, mng mới đọc sách thì có thể tham khảo^^",hmm khá thích đọc quyển sách tâm_hồn nhưng khá bình_thường đọc chicken soup for the soul nhưng_mà sách ý_nghĩa mng mới đọc sách có_thể tham_khảo,Positive,tiki
"Đa số sách mình mua vì được truyền cảm hứng từ BTS, nhờ BTS đặc biệt là KIM NAM JOON trưởng nhóm giúp mình có rất nhiều động lực đọc sách
Phải khen Tiki vì luôn bán sách rẻ, chính hãng, giao nhanh, mua sách trên Tiki cũng được review rất kĩ từ các độc giả khác, cảm ơn mng rất nhiều",đa_số sách mua truyền cảm_hứng bts nhờ bts đặc_biệt kim_nam joon_trưởng nhóm giúp nhiều động_lực đọc sách phải khen tiki luôn bán sách rẻ chính hãng giao nhanh mua sách trên tiki review kĩ_từ độc_giả khác cảm_ơn mng nhiều,Positive,tiki
"chịu khó nghe sách nói top 10
 
 Ko tam 2 sau 6 ko 9 mot 7 ching",chịu_khó nghe sách nói top 10 tam sau mot ching,Positive,tiki
"Thấy nhiều bạn chê tiki gói hàng quá, may sao hàng mình không bị hư một tẹo nèo! mà đúng thật là hơi sơ sài ko bọc chống xóc, chỉ có sách và cái hộp.
rewiew sách: mik nghĩ cuốn này jhas healing( viết kiểu kể chuyện đọc ko  chán) nó thật sư là khám phá nỗi đau và yêu thương.",thấy nhiều chê tiki_gói hàng quá may_sao hàng hư tẹo nèo đúng thật hơi sơ_sài bọc chống xóc sách cái hộp rewiew sách nghĩ cuốn jhas healing viết kiểu kể chuyện đọc chán nó thật_sư khám_phá nỗi đau yêu_thương,Positive,tiki
"Có những người bước đến, họ lấp đầy hạnh phúc vào từng vết nứt trong tim, khiến chúng được an ủi và chữa lành. Nhưng rồi họ lại ra đi, làm tan vỡ trái tim người ở lại….
Câu chuyện bắt đầu bằng sự vui vẻ, nghịch ngợm của một cậu bé mang tên Zezé và kết thúc là một nỗi đau tột cùng khi mất đi hai người bạn quý giá nhất đời mình.
Khi đọc cuốn tiểu thuyết này, các bạn hẳn sẽ nhiều lần đau xót vì thương cảm cho cậu bé chỉ mới 5 tuổi với một tuổi thơ nhiều rạn vỡ. Nhưng các bạn cũng sẽ mỉm cười và cảm thấy yêu thương sự sống từ trong sâu thẳm tim mình. Bởi trong suốt cuốn tiểu thuyết, người với người đối xử với nhau vẫn rất đỗi dịu dàng, yêu thương và trìu mến. Cho đến khi khép lại cuốn sách, thì trái tim chúng ta lại thổn thức với một nỗi buồn vương vấn, buồn cho sự mất mát từ những yêu thương và buồn cho sự trưởng thành từ những nỗi đau, sự trưởng thành quá sớm mà không ai mong muốn…
Một cuốn tự truyện đầy cảm động, tuy đau đớn nhưng vẫn ngập tràn tình yêu thương!!!
Cảm ơn Tiki 🧡",người bước đến lấp đầy hạnh_phúc vào từng vết nứt tim khiến an_ủi chữa_lành nhưng rồi ra đi làm tan_vỡ trái_tim người câu_chuyện bắt_đầu bằng sự vui_vẻ nghịch_ngợm cậu bé mang tên zezé kết_thúc nỗi đau tột_cùng mất đi hai người quý_giá đời đọc cuốn tiểu_thuyết hẳn nhiều lần đau_xót thương_cảm cậu bé mới tuổi tuổi_thơ nhiều rạn vỡ nhưng mỉm cười cảm_thấy yêu_thương sự sống sâu thẳm_tim bởi suốt cuốn tiểu_thuyết người người đối_xử nhau rất_đỗi dịu_dàng yêu_thương trìu_mến đến khép cuốn sách trái_tim chúng_ta thổn_thức nỗi buồn vương_vấn buồn sự mất_mát yêu_thương buồn sự trưởng_thành nỗi đau sự trưởng_thành quá sớm ai mong_muốn cuốn tự truyện đầy cảm_động tuy đau_đớn nhưng ngập_tràn tình_yêu_thương cảm_ơn tiki,Positive,tiki
